Name,Nat,Club,Position,Age,Height,Preferred_ Foot,Apps,Starts,Mins,Gls,Ast,Wage,Transfer_Value,Pens,Pens_S,Pas_A,Pas_%,Pr_Passes,Pres_A,Pres_C,Blk,Shts_Blckd,Clear,Hdrs,Itc,Tck_A,Tck_W,Off,Gl_Mst,K_Tck,Distance,Drb,Cr_A,Cr_C%,Shots,Shts_on_target,K_Pas,Yel,Red,xG,xA
Tom Bayliss,ENG,Millwall,"DM, M/AM (C)",33,"6'2""",Right,13 (23),13,1494,3,0,"£14,250 p/w",Not for Sale,1,1,"1,043",88%,85,285,87,12,0,13,42,25,31,19,3,0,1,233.1km,20,6,16%,26,7,17,2,0,3.1,2.3
Nathan Butler-Oyedeji,NGA,Millwall,"M (RL), AM (RLC), ST (C)",29,"5'11""",Right Only,10 (15),10,1062,2,4,"£6,500 p/w",£400K,0,0,339,81%,24,133,46,8,3,6,31,14,40,33,24,0,0,148.7km,39,33,26%,21,8,17,2,0,3.18,1.56
Femi Azeez,NGA,Millwall,"M (R), AM (RL), ST (C)",30,"5'11""",Left,6 (25),6,818,2,1,"£7,250 p/w",£22K,0,0,353,76%,23,162,44,8,4,6,37,19,35,27,18,0,0,127.8km,31,28,10%,10,4,9,1,0,1.52,0.91
Alex Murphy,IRL,Millwall,"D (LC), WB (L)",27,"6'2""",Left Only,6 (10),6,612,0,1,"£5,000 p/w",£130K - £1.3M,0,0,378,82%,36,93,39,9,3,13,23,28,21,16,2,0,4,94.9km,24,27,15%,1,0,8,4,0,0.23,1.59
Coby Small,ENG,Millwall,D (C),25,"6'0""",Right,3 (14),3,435,0,0,"£5,250 p/w",£110K - £325K,0,0,424,84%,31,15,8,4,4,13,52,20,8,5,0,1,1,58.4km,0,0,0%,1,0,1,0,0,0,0.13
Andy Cunningham,ENG,Millwall,"D (LC), WB (L), DM, M (LC)",22,"6'2""",Left,3 (5),3,291,0,0,"£1,200 p/w",£90K - £900K,0,0,232,88%,14,19,7,1,1,7,19,4,5,2,2,0,1,42.0km,2,8,37%,2,1,3,0,1,0.07,0.42
Archie Woods,ENG,Millwall,"DM, M (C)",28,"6'0""",Right,0 (5),-,33,0,0,"£11,500 p/w",£600K - £1.2M,0,0,22,73%,1,9,0,0,0,0,2,0,1,1,0,0,0,7.4km,1,0,0%,0,-,2,0,0,0,0.17
Anthony Scully,IRL,Millwall,"M (L), AM (RL), ST (C)",33,"5'9""",Right,0 (2),-,9,0,0,"£3,900 p/w",£3K,0,0,7,71%,0,7,2,0,0,0,1,0,1,1,0,0,0,2.3km,0,3,0%,0,-,1,0,0,0,0.39
Jordan Wilson,ENG,Millwall,"D (RC), DM, M (C)",22,"6'2""",Right,0 (1),-,27,0,0,"£1,000 p/w",£0 - £18K,0,0,26,88%,2,3,0,0,0,2,3,1,0,-,0,0,0,4.4km,1,5,0%,0,-,0,0,0,0,0
Harrison McDonald,ENG,Millwall,"M (C), AM (R), ST (C)",22,"6'1""",Right,-,-,-,-,-,£950 p/w,£0 - £35K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nykah Onanaye,ENG,Millwall,"DM, M/AM (C)",22,"5'10""",Right,-,-,-,-,-,£900 p/w,£7K - £22K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ben Pugh,WAL,Millwall,GK,22,"6'3""",Right,-,-,-,-,-,"£1,400 p/w",£18K - £60K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chris Prenderville,ENG,Millwall,GK,24,"6'1""",Right,-,-,-,-,-,"£3,300 p/w",£140K - £1.4M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Josh Griffiths,ENG,Northampton,GK,30,"6'5""",Right,47,47,4230,0,2,"£3,500 p/w",£400K - £650K,0,0,"1,284",35%,153,0,0,-,-,-,-,25,5,1,0,0,0,285.9km,0,-,-,0,-,3,0,0,0,0.74
Sam Barnes,ENG,Northampton,D (C),31,"6'3""",Right,47,47,3886,1,0,"£6,000 p/w",£170K - £425K,0,0,"1,852",70%,121,180,73,38,32,78,488,167,59,48,1,2,18,466.5km,2,1,0%,22,9,11,4,0,1.94,0.85
Paul Gough,ENG,Northampton,"DM, M/AM (RC)",24,"5'10""",Either,46,46,3644,3,2,"£3,200 p/w",£120K - £700K,0,0,"1,186",76%,102,807,253,20,6,36,56,76,144,111,10,1,1,536.9km,76,55,16%,32,10,42,5,0,3.09,4.33
Tom Hamer,ENG,Northampton,"D (RLC), WB (RL)",32,"6'2""",Right,46,46,3785,0,1,"£2,000 p/w",£10K - £16K,0,0,"1,456",63%,160,591,207,59,16,104,205,147,174,130,0,1,7,540.7km,70,59,13%,11,3,19,2,0,0.48,0.98
Liam Morrison,SCO,Northampton,D (LC),29,"6'2""",Right,44 (1),44,3681,1,0,"£4,900 p/w",£170K - £425K,0,0,"1,584",56%,158,151,76,35,32,87,273,116,47,36,0,6,11,452.0km,2,3,0%,14,6,5,6,0,1.05,0.45
Sam Mather,ENG,Northampton,"M (LC), AM (RLC), ST (C)",27,"6'0""",Right,43 (1),43,3402,6,4,"£17,750 p/w",£1.2M - £1.8M,0,0,966,71%,77,848,263,32,4,25,187,98,149,114,22,1,1,514.9km,123,104,11%,86,31,40,2,0,6.05,3.79
Terry Taylor,WAL,Northampton,"DM, M (C)",30,"6'1""",Left,40,40,3435,2,1,"£8,500 p/w",£210K - £325K,1,1,"1,143",76%,81,691,223,29,11,44,114,100,109,85,3,0,5,494.8km,65,44,0%,27,8,30,2,0,1.76,2.91
Ethan Wheatley,ENG,Northampton,"AM (R), ST (C)",26,"6'1""",Right,38 (6),38,2780,9,3,"£10,000 p/w",£2.4M - £3.9M,0,0,738,79%,21,514,140,4,1,16,345,49,67,50,64,0,0,401.4km,68,22,9%,67,26,26,5,0,9.84,2.13
Jerome Bowen,WAL,Northampton,"D (RC), DM",23,"5'9""",Right,36 (7),36,3127,0,3,"£3,600 p/w",£750K - £2M,0,0,"1,045",75%,122,411,150,26,15,47,63,74,89,67,0,0,8,449.0km,13,28,33%,4,1,28,1,0,0.08,1.66
Ryan Trevitt,ENG,Northampton,M/AM (C),29,"5'11""",Right,36 (2),36,3006,0,2,"£5,500 p/w",£140K - £350K,0,0,"1,217",74%,125,701,224,22,13,20,137,91,79,58,0,4,1,436.3km,53,90,25%,23,8,46,2,0,1.19,2.98
Dara O'Shea,IRL,Northampton,D (RC),33,"6'2""",Right,27,27,2203,0,2,"£5,500 p/w",£110K - £450K,0,0,936,61%,120,273,92,17,9,79,148,105,95,73,2,1,11,313.4km,32,62,9%,7,1,12,2,2,0.32,0.98
Daniel Pike,ENG,Northampton,"D (RC), WB (R)",30,"5'11""",Right Only,21 (6),21,1868,0,3,"£3,000 p/w",£35K - £60K,0,0,726,68%,90,289,113,26,16,47,82,94,68,53,1,1,0,282.5km,60,88,20%,7,1,26,0,0,0.21,2.4
Phoenix Patterson,SCO,Northampton,"M (L), AM (RLC)",31,"5'10""",Right Only,18 (22),18,1949,8,3,"£7,750 p/w",£160K - £650K,1,0,559,71%,39,567,171,21,3,16,58,63,97,76,16,0,0,307.6km,62,143,17%,44,13,44,2,0,4.53,3.62
Sinclair Armstrong,IRL,Northampton,"M (RL), AM (RLC), ST (C)",28,"6'0""",Right,17 (10),17,1282,5,4,"£8,500 p/w",£30K - £120K,0,0,402,70%,24,289,68,8,4,18,115,37,62,54,13,0,2,198.6km,46,38,18%,27,13,21,1,0,2.87,2.63
Bojan Miovski,MKD,Northampton,"AM (LC), ST (C)",32,"6'2""",Left,10 (28),10,1411,7,1,"£8,250 p/w",£800K - £1.7M,1,1,320,80%,4,249,69,3,0,9,66,20,35,30,43,0,0,209.1km,22,21,9%,25,9,10,3,0,3.27,0.95
Junior Tchamadeu,ENG,Northampton,D/WB (RL),28,"5'11""",Right,7 (10),7,768,1,1,"£2,300 p/w",£60K - £250K,0,0,291,67%,43,102,39,8,1,15,36,35,17,14,3,1,1,118.3km,24,25,16%,6,2,8,0,0,0.21,0.51
Bosun Lawal,IRL,Northampton,"D (RC), DM, M (C)",28,"5'9""",Right,5 (31),5,983,0,0,"£5,000 p/w",£16K - £40K,0,0,369,71%,31,132,48,9,4,18,53,21,36,27,1,0,2,150.6km,9,11,18%,4,0,13,1,0,0.15,0.93
Jack Moorhouse,ENG,Northampton,"DM, M (C), AM (RC)",26,"5'11""",Right,5 (16),5,730,0,1,"£3,700 p/w",£130K - £500K,0,0,299,74%,40,153,51,3,1,3,38,20,15,13,0,0,0,112.6km,36,8,37%,9,1,12,0,0,0.43,0.71
Cameron Congreve,WAL,Northampton,"M (C), AM (RLC)",28,"5'11""",Left,2 (29),2,893,1,1,"£2,500 p/w",£85K - £210K,0,0,326,65%,19,219,84,5,1,8,56,20,28,25,9,0,0,148.4km,27,27,23%,25,9,19,0,0,1.97,1.38
Andrew Steel,ENG,Northampton,GK,24,"6'2""",Right,2,2,180,0,0,"£2,400 p/w",£75K - £400K,0,0,55,49%,8,0,0,-,-,-,-,2,0,-,0,0,0,12.5km,0,-,-,0,-,0,0,0,0,0
Jake Gee,ENG,Northampton,"DM, M/AM (C)",26,"6'0""",Right,1 (6),1,226,0,0,"£2,600 p/w",£70K - £275K,0,0,83,84%,3,50,12,1,0,1,21,5,11,8,2,0,0,35.5km,5,0,0%,4,1,2,0,0,0.16,0.04
Zak Johnson,ENG,Northampton,D (RC),26,"6'2""",Right,0 (36),-,796,0,0,"£2,400 p/w",£375K - £600K,0,0,399,58%,34,32,13,12,10,27,90,38,9,8,1,0,4,107.9km,0,0,0%,3,1,0,1,0,0.21,0
Ben Jackson,ENG,Northampton,D/WB/M (L),31,"5'10""",Left,0 (4),-,44,0,0,"£3,200 p/w",£28K - £45K,0,0,12,92%,4,5,0,1,1,2,2,3,0,-,0,0,0,8.5km,2,0,0%,0,-,0,1,0,0,0
Rhett Cowan,IRL,Northampton,"D/WB (L), DM",23,"5'10""",Left,-,-,-,-,-,"£1,100 p/w",£55K - £350K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jayden St. Paul,ENG,Northampton,GK,28,"5'11""",Left Only,-,-,-,-,-,"£4,000 p/w",£50K - £120K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
David Turnbull,SCO,Norwich,M/AM (C),32,"6'1""",Either,41 (3),41,3322,3,2,"£18,500 p/w",£4.9M - £7.8M,3,3,"3,171",83%,330,475,181,18,14,16,107,44,99,77,0,1,0,453.7km,20,21,22%,39,10,44,3,0,3.94,3.92
Dempsey Boothroyd,ENG,Norwich,D/WB/M/AM (L),23,"5'9""",Left,40 (2),40,3337,0,3,"£25,000 p/w",£7.8M - £12.5M,0,0,"2,412",87%,272,379,162,37,11,59,74,152,127,91,2,0,6,454.2km,30,36,19%,2,0,26,9,0,0.3,2.44
Robbie Hocking,AUS,Norwich,GK,24,"6'4""",Either,39,39,3510,0,1,"£4,200 p/w",£6.4M - £7.6M,0,0,"1,102",87%,30,0,0,-,-,-,-,13,5,0,0,4,0,244.0km,0,-,-,0,-,0,0,0,0,0.25
Chris Jeacock,ENG,Norwich,"M (R), AM (RC), ST (C)",21,"5'7""",Right,38 (3),38,2974,13,5,N/A,Not for Sale,0,0,"1,056",86%,40,376,124,11,5,8,17,31,53,37,43,0,0,417.0km,49,46,32%,74,28,36,1,0,12.53,4.33
Do?ukan Sinik,TUR,Norwich,M/AM (RLC),33,"5'10""",Right,38 (2),38,3060,3,8,"£29,000 p/w",£400K - £1.3M,0,0,"1,527",77%,215,605,204,29,9,19,52,77,145,113,7,0,0,451.9km,117,201,14%,32,13,55,3,0,3.51,5.84
Mike Cochran,USA,Norwich,D (C),24,"5'11""",Left,37 (1),37,3237,2,1,"£29,000 p/w",£13.5M - £22M,0,0,"2,734",90%,193,171,78,30,24,46,187,111,49,34,0,0,9,377.0km,3,0,0%,8,7,6,8,0,0.55,0.46
Cian Murphy,IRL,Norwich,"DM, M (LC), AM (RLC)",22,"5'10""",Left,37 (1),37,3076,3,4,"£2,100 p/w",£17.5M - £28M,0,0,"2,443",85%,223,526,187,15,6,18,40,59,109,84,3,1,4,444.4km,29,18,44%,35,5,48,6,0,2.32,4.68
Charlie Cresswell,ENG,Norwich,D (C),29,"6'3""",Right,31 (9),31,2835,2,0,"£18,000 p/w",£7.2M - £9.4M,0,0,"2,570",90%,160,148,56,23,21,25,303,86,47,30,0,0,12,332.1km,1,2,50%,10,3,2,7,0,0.75,0.77
Ethan Ampadu,WAL,Norwich,"D (C), DM, M (C)",31,"6'0""",Right,29 (10),29,2598,1,1,"£38,000 p/w",£6M - £9.6M,0,0,"2,317",89%,165,219,106,22,19,34,212,73,63,46,0,0,7,324.7km,7,1,0%,12,4,7,4,0,0.44,0.71
João Ferreira,POR,Norwich,"D (RL), WB (R)",31,"6'1""",Right,26 (16),26,2587,1,1,"£22,000 p/w",£8.2M - £13.5M,0,0,"1,999",90%,166,237,98,26,6,39,200,120,84,63,1,1,3,359.9km,14,16,18%,11,6,11,5,0,0.51,0.74
Malik El Hachimi,MAR,Norwich,"DM, M (RC), AM (R)",24,"6'0""",Right,16 (30),16,1840,1,3,"£30,500 p/w",£8M - £10.5M,0,0,"1,197",85%,78,317,113,9,3,36,77,27,85,60,8,0,0,274.3km,38,60,10%,16,6,23,1,0,1.12,1.88
Martin Alderton,ENG,Norwich,"AM (R), ST (C)",19,"6'0""",Right,16 (1),16,1333,5,2,"£23,000 p/w",£18M - £29M,0,0,560,83%,29,184,70,5,1,8,44,13,30,24,21,0,0,183.5km,40,19,10%,31,13,13,1,0,3.55,2.43
Adrian Storck,GER,Norwich,"D (RL), WB (R)",19,"5'10""",Either,15,15,1244,0,0,"£19,750 p/w",£21M - £27M,0,0,969,86%,72,122,42,6,2,18,77,46,41,30,0,1,4,166.4km,6,10,20%,2,1,4,2,1,0.22,0.35
Marcelo Saracchi,URU,Norwich,D/WB/M/AM (L),34,"5'8""",Left,13 (9),13,1137,0,3,"£23,000 p/w",£220K - £2.2M,0,0,629,88%,58,207,54,10,0,9,23,30,62,43,3,0,0,164.6km,54,91,28%,6,2,31,3,1,0.37,3.72
Nicky Clemo,ENG,Norwich,"AM (LC), ST (C)",24,"5'10""",Right,12 (5),12,1178,6,2,"£39,500 p/w",£11.5M - £18.5M,0,0,523,82%,23,176,70,2,0,3,12,17,26,22,21,0,0,168.7km,34,18,0%,30,12,13,3,0,4.98,0.77
Ian Cottam,ENG,Norwich,ST (C),22,"6'3""",Right,11 (23),11,1241,9,1,"£11,000 p/w",£19M - £28M,0,0,477,82%,13,172,49,3,0,12,65,14,34,24,24,0,0,180.7km,21,16,18%,61,27,15,0,0,9.7,2.27
Arnau Puigmal,ESP,Norwich,"M (RC), AM (C)",31,"5'9""",Right,11 (9),11,1094,1,2,"£30,500 p/w",£300K - £1M,2,1,960,85%,87,199,74,7,1,3,21,20,38,27,1,0,1,158.3km,9,72,35%,18,5,23,1,0,2.49,2.48
Reece Oxford,JAM,Norwich,"D (RC), DM",33,"6'3""",Right,6 (7),6,622,0,0,"£26,000 p/w",£4.4M - £5.8M,0,0,591,91%,31,48,25,2,2,4,65,20,17,14,0,0,1,77.6km,0,4,25%,5,0,4,0,0,0.06,0.13
Marcos Paulo,BRA,Norwich,GK,24,"6'3""",Right,6,6,540,0,0,"£5,250 p/w",£40K - £4M,0,0,155,85%,5,0,0,-,-,-,-,0,0,-,0,1,0,25.4km,0,-,-,0,-,0,0,0,0,0
Luke Harris,ENG,Norwich,"M (C), AM (RLC)",27,"5'9""",Right,2 (8),2,286,0,0,"£24,000 p/w",£11.5M - £18.5M,0,0,248,85%,24,35,14,0,0,5,7,7,7,4,0,0,0,43.6km,3,20,0%,2,2,5,1,0,0.13,0.27
Vicente Besuijen,NED,Norwich,"M (RL), AM (RLC)",31,"5'7""",Right,1 (2),1,132,0,0,"£13,750 p/w",£8.8M - £11M,0,0,84,86%,6,23,9,0,0,1,1,0,7,6,0,0,0,18.7km,7,10,0%,1,0,2,1,0,0.15,0.02
Martin Foedisch,GER,Norwich,"D (RLC), DM",23,"6'4""",Right,0 (8),-,120,0,0,"£2,700 p/w",£24K - £240K,0,0,112,88%,9,13,2,0,0,2,10,3,7,7,0,1,0,19.4km,0,0,0%,0,-,0,1,0,0,0
William Harriette,ATG,Norwich,"AM (R), ST (C)",22,"6'1""",Right Only,0 (4),-,34,0,0,"£2,300 p/w",£400K - £4M,0,0,9,100%,0,5,2,0,0,0,0,0,0,-,1,0,0,6.5km,0,0,0%,1,1,0,0,0,0.09,0
Danny Quin,ENG,Norwich,"AM (RL), ST (C)",23,"6'0""",Left,0 (3),-,48,0,0,"£6,750 p/w",£650K,0,0,35,74%,2,8,6,0,0,0,1,0,1,0,0,0,0,8.0km,0,2,50%,0,-,3,0,0,0,0.68
Ian Walmsley,ENG,Norwich,M/AM (C),24,"6'2""",Right,0 (2),-,38,0,0,"£5,750 p/w",£350K,0,0,41,78%,3,8,4,0,0,0,2,1,1,1,0,0,0,6.1km,0,1,100%,0,-,0,0,0,0,0
Sam Gilfedder,ENG,Norwich,AM (RC),17,"5'9""",Right,-,-,-,-,-,"£2,200 p/w",£5.2M - £8.6M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
David Bowers,ENG,Norwich,M/AM (C),22,"6'0""",Right,-,-,-,-,-,"£2,700 p/w",£26K - £250K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Christian Franzke,GER,Norwich,"AM (C), ST (C)",23,"5'9""",Right,-,-,-,-,-,"£2,600 p/w",£22K - £210K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peter Howarth,ENG,Norwich,"M (LC), AM (R), ST (C)",24,"6'0""",Left,-,-,-,-,-,"£5,750 p/w",£400K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pierce Charles,NIR,Norwich,GK,26,"6'5""",Right,-,-,-,-,-,"£2,300 p/w",£0 - £75K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jake Rooney,ENG,Preston,"D (C), DM",28,"6'3""",Right,44 (1),44,3796,0,0,"£11,000 p/w",£5.2M - £8.4M,0,0,"2,649",84%,141,241,106,40,38,86,449,140,64,43,0,4,8,467.0km,1,3,33%,10,6,14,6,0,0.4,0.98
Zach Jeacock,ENG,Preston,GK,31,"6'3""",Either,44,44,3960,0,2,"£13,500 p/w",Not for Sale,0,0,"1,208",42%,132,0,0,-,-,-,-,24,3,3,0,3,1,198.4km,0,-,-,0,-,5,0,0,0,1.03
Max Robson,ENG,Preston,"M (C), AM (LC)",29,"6'1""",Right,43 (1),43,3613,3,3,"£13,500 p/w",£325K - £3.3M,0,0,"2,289",82%,237,658,221,29,22,22,224,78,94,67,1,1,5,520.0km,34,23,34%,41,10,42,3,0,1.21,3.39
Ahmet Faili,ENG,Preston,"D (C), DM, M/AM (C)",22,"6'0""",Left,42 (3),42,3776,1,1,"£14,250 p/w",£16.5M - £27M,1,1,"2,722",86%,210,232,114,47,40,48,312,158,74,62,0,1,26,466.7km,10,13,38%,15,5,38,4,0,1.37,1.61
Miguel Azeez,NGA,Preston,"DM, M/AM (C)",29,"5'11""",Right,42 (1),42,3379,0,1,"£20,500 p/w",£5M - £8M,0,0,"2,258",80%,229,640,246,28,17,21,147,88,87,62,0,2,1,490.0km,46,44,29%,9,1,57,3,0,0.77,4.03
Charlie Doddy,ENG,Preston,"AM (RL), ST (C)",24,"6'0""",Right,37 (7),37,3111,16,4,"£13,000 p/w",£140K - £1.4M,0,0,954,81%,24,424,134,14,3,12,277,35,72,49,86,0,1,425.6km,71,54,14%,119,50,31,6,0,15.34,3.21
Marcel Copeland,ENG,Preston,"AM (RC), ST (C)",23,"6'1""",Right,34 (6),34,2852,8,3,"£7,500 p/w",£220K - £5.4M,1,1,999,75%,43,417,131,7,1,7,157,33,55,38,25,0,0,394.7km,55,47,10%,64,27,31,2,0,8.88,3.17
Taylor Gardner-Hickman,ENG,Preston,"D/WB (R), M (RC), AM (R)",30,"6'0""",Right,33 (2),33,2854,1,2,"£18,000 p/w",£5.6M - £9.2M,0,0,"1,504",83%,127,336,120,37,12,53,152,131,75,58,4,1,7,425.3km,32,110,18%,30,7,31,10,0,2.22,3.82
Callum Williams,ENG,Preston,D (LC),24,"5'10""",Left,31,31,2671,0,1,"£10,750 p/w",£22K - £3.7M,0,0,"1,544",85%,166,312,120,28,11,62,92,100,88,68,2,2,12,382.8km,25,57,12%,10,1,18,8,0,0.17,1.71
Chris Popov,WAL,Preston,"M (L), AM (RLC), ST (C)",27,"6'2""",Left,25 (4),25,2069,10,7,"£15,000 p/w",£5.6M - £6.8M,0,0,654,76%,50,389,130,17,3,25,130,46,63,49,26,0,0,305.2km,59,131,16%,51,21,35,7,0,5.44,5.17
Ato Ampah,GHA,Preston,D/WB/M/AM (RL),26,"5'10""",Right Only,20 (18),20,1833,2,2,"£8,000 p/w",£350K - £1M,0,0,875,78%,103,291,93,16,7,30,76,69,65,47,6,0,3,281.3km,42,94,14%,16,8,22,2,0,1.59,2.04
Udoka Godwin-Malife,ENG,Preston,"D (RC), WB (R)",32,"5'11""",Right,17 (17),17,1618,0,3,"£6,750 p/w",£190K - £1.9M,0,0,801,83%,89,190,66,21,13,38,93,65,46,33,2,1,4,255.7km,57,129,10%,10,2,26,3,1,0.32,2.44
Malachi Sharpe,JAM,Preston,"M/AM (RL), ST (C)",26,"5'10""",Right,14 (6),14,1261,2,3,"£4,100 p/w",£110K - £1.1M,0,0,478,77%,43,249,79,13,4,17,16,33,48,34,7,0,0,189.0km,53,138,14%,27,7,38,1,0,2.29,2.81
Tony Musbaudeen,NGA,Preston,"M/AM (R), ST (C)",22,"5'4""",Left,14 (1),14,1222,2,3,"£7,250 p/w",Not for Sale,0,0,490,76%,67,224,72,8,3,10,15,23,34,25,4,0,1,178.6km,42,64,23%,22,4,25,0,0,1.48,1.65
Trent Stonebridge,ENG,Preston,"AM (RL), ST (C)",24,"6'0""",Right,12 (28),12,1694,6,4,"£16,000 p/w",£4M - £7.2M,1,0,604,80%,18,230,82,10,3,2,123,15,29,23,27,0,0,243.7km,34,32,15%,53,20,20,2,0,6.59,2.26
Kion Etete,ENG,Preston,ST (C),30,"6'4""",Right,5 (12),5,477,2,0,"£6,500 p/w",£75K - £750K,0,0,174,81%,5,66,20,0,0,5,70,3,12,10,8,0,0,69.0km,8,5,40%,26,15,5,0,0,2.17,0.28
Jack Whatmough,ENG,Preston,D (C),35,"6'0""",Right,5 (10),5,568,0,0,"£7,500 p/w",£0 - £55K,0,0,400,86%,41,46,20,6,6,6,48,25,10,8,0,0,4,73.8km,0,0,0%,0,-,3,2,0,0,0.2
Adam Bridges,ENG,Preston,"M (RC), AM (RLC), ST (C)",20,"6'0""",Right,4 (8),4,461,0,0,"£6,000 p/w",£3.9M - £5.6M,0,0,269,85%,21,82,30,3,1,7,19,12,10,8,0,0,2,71.3km,8,5,0%,8,4,4,0,0,0.38,0.15
Zach Abbott,ENG,Preston,D (RC),25,"6'1""",Right,4 (6),4,413,0,0,"£3,600 p/w",£90K - £900K,0,0,280,60%,36,24,10,9,8,8,53,14,10,9,1,0,1,53.4km,0,0,0%,3,1,2,0,0,0.17,0.2
Arthur Okonkwo,ENG,Preston,GK,30,"6'5""",Right,4,4,360,0,0,"£8,000 p/w",£22K - £220K,0,0,105,30%,6,0,0,-,-,-,-,1,0,-,0,1,1,18.9km,0,-,-,0,-,0,0,0,0,0.04
Lukas Engel,DEN,Preston,D/WB/M/AM (L),33,"5'10""",Left,3 (17),3,539,0,1,"£4,700 p/w",£3.5K,0,0,282,83%,32,74,20,4,1,7,8,31,17,12,1,1,0,85.3km,7,18,6%,2,0,7,1,0,0.34,0.45
Tashan Oakley-Boothe,ENG,Preston,"DM, M (C)",32,"5'10""",Right,2 (11),2,323,0,0,"£7,000 p/w",£40K - £400K,0,0,195,83%,20,62,23,2,1,0,5,5,10,8,0,0,1,50.3km,3,7,0%,3,1,4,0,0,0.15,0.3
Marvin Phillip,TRI,Preston,M/AM (C),23,"5'8""",Right,1 (11),1,252,0,0,"£3,000 p/w",£650K - £1.4M,0,0,169,88%,14,42,14,1,1,3,1,2,9,4,0,0,0,40.9km,2,2,100%,1,0,3,0,0,0.02,0.09
Dru Crown,ENG,Preston,D/WB/M/AM (R),21,"5'9""",Right,1 (3),1,150,0,0,"£3,800 p/w",£170K - £1.7M,0,0,62,77%,9,23,6,0,0,4,7,10,4,3,1,1,0,24.8km,2,5,0%,0,-,2,0,0,0,0.26
Cole Money,ENG,Preston,M/AM (C),23,"6'0""",Right,0 (1),-,13,0,0,"£1,400 p/w",£55K,0,0,13,77%,2,3,2,0,0,0,1,2,0,-,0,0,0,2.2km,0,0,0%,0,-,1,0,0,0,0.08
Dean Ward,ENG,Preston,"DM, M (C)",23,"5'10""",Right,-,-,-,-,-,£875 p/w,£0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andy Pinto,ENG,Preston,GK,22,"6'5""",Right,-,-,-,-,-,"£1,800 p/w",£18K - £60K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Richard Clark,ENG,Preston,"D (RLC), DM",24,"6'1""",Right,-,-,-,-,-,"£2,300 p/w",£50K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sam West,ENG,Preston,GK,24,"6'3""",Right,-,-,-,-,-,£875 p/w,£28K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mads Hermansen,DEN,Reading,GK,31,"6'1""",Right Only,48,48,4320,0,0,"£18,250 p/w",Not for Sale,0,0,"1,289",35%,100,0,0,-,-,-,-,20,10,3,0,2,1,218.7km,0,-,-,0,-,3,0,0,0,0.34
Tony Collins,ENG,Reading,D (C),20,"6'2""",Left,41 (1),41,3600,0,1,"£10,500 p/w",£8.6M - £10.5M,0,0,"2,779",85%,139,248,113,50,32,82,366,189,79,57,1,2,11,452.6km,4,1,0%,11,4,10,8,0,0.38,0.65
Ian Maatsen,NED,Reading,"D (LC), WB (L), M (RLC)",30,"5'6""",Left,38 (3),38,3321,1,5,"£20,000 p/w",£500K - £5.2M,0,0,"1,914",85%,176,465,175,46,10,60,67,106,114,86,2,1,6,496.0km,56,317,13%,20,9,65,11,0,1.2,4.89
Bali Mumba,ENG,Reading,"D (R), WB (RL), DM, M (RC)",30,"5'9""",Right,38 (1),38,3277,2,3,"£13,250 p/w",£900K - £9M,2,1,"1,657",82%,156,411,166,35,16,42,80,164,117,90,8,2,8,510.5km,145,253,12%,17,6,43,5,0,2.41,5.48
Morgan Rogers,ENG,Reading,"M (L), AM (RLC), ST (C)",29,"6'2""",Right,36 (10),36,3115,9,4,"£23,000 p/w",£7.2M - £12M,0,0,"1,035",80%,43,490,136,8,2,14,187,45,100,66,41,0,0,438.5km,64,67,16%,80,34,41,1,0,11.07,3.59
